crim,zn,river,rm,ptratio,medv
0.00632,18,0,6.575,15.3,24
0.02731,0,0,6.421,17.8,21.6
0.02729,0,0,7.185,17.8,34.7
0.03237,0,0,6.998,18.7,33.4
0.06905,0,0,7.147,18.7,36.2
0.02985,0,0,6.43,18.7,28.7
0.08829,12.5,0,6.012,15.2,22.9
0.14455,12.5,0,6.172,15.2,27.1
0.21124,12.5,0,5.631,15.2,16.5
0.17004,12.5,0,6.004,15.2,18.9
0.22489,12.5,0,6.377,15.2,15
0.11747,12.5,0,6.009,15.2,18.9
0.09378,12.5,0,5.889,15.2,21.7
0.62976,0,0,5.949,21,20.4
0.63796,0,0,6.096,21,18.2
0.62739,0,0,5.834,21,19.9
1.05393,0,0,5.935,21,23.1
0.7842,0,0,5.99,21,17.5
0.80271,0,0,5.456,21,20.2
0.7258,0,0,5.727,21,18.2
1.25179,0,0,5.57,21,13.6
0.85204,0,0,5.965,21,19.6
1.23247,0,0,6.142,21,15.2
0.98843,0,0,5.813,21,14.5
0.75026,0,0,5.924,21,15.6
0.84054,0,0,5.599,21,13.9
0.67191,0,0,5.813,21,16.6
0.95577,0,0,6.047,21,14.8
0.77299,0,0,6.495,21,18.4
1.00245,0,0,6.674,21,21
1.13081,0,0,5.713,21,12.7
1.35472,0,0,6.072,21,14.5
1.38799,0,0,5.95,21,13.2
1.15172,0,0,5.701,21,13.1
1.61282,0,0,6.096,21,13.5
0.06417,0,0,5.933,19.2,18.9
0.09744,0,0,5.841,19.2,20
0.08014,0,0,5.85,19.2,21
0.17505,0,0,5.966,19.2,24.7
0.02763,75,0,6.595,18.3,30.8
0.03359,75,0,7.024,18.3,34.9
0.12744,0,0,6.77,17.9,26.6
0.1415,0,0,6.169,17.9,25.3
0.15936,0,0,6.211,17.9,24.7
0.12269,0,0,6.069,17.9,21.2
0.17142,0,0,5.682,17.9,19.3
0.18836,0,0,5.786,17.9,20
0.22927,0,0,6.03,17.9,16.6
0.25387,0,0,5.399,17.9,14.4
0.21977,0,0,5.602,17.9,19.4
0.08873,21,0,5.963,16.8,19.7
0.04337,21,0,6.115,16.8,20.5
